Date,Hour,X Position,Y Position
08/02/18,17:40:52,153.2,29.8,
08/02/18,17:40:52,147.1,29.5,
08/02/18,17:40:52,149.1,27.0,
08/02/18,17:40:52,147.7,26.7,
08/02/18,17:40:52,149.4,28.2,
08/02/18,17:40:52,145.7,33.9,
08/02/18,17:40:52,148.1,28.6,
08/02/18,17:40:52,149.7,25.0,
08/02/18,17:40:52,150.7,26.0,
08/02/18,17:40:53,152.3,28.9,
08/02/18,17:40:53,146.7,30.6,
08/02/18,17:40:53,158.4,33.0,
08/02/18,17:40:53,152.0,29.0,
08/02/18,17:40:53,155.8,27.2,
08/02/18,17:40:53,151.8,23.8,
08/02/18,17:40:53,154.9,24.1,
08/02/18,17:40:53,146.9,33.2,
08/02/18,17:40:53,147.3,30.4,
08/02/18,17:40:53,155.7,30.0,
08/02/18,17:40:53,154.8,32.0,
08/02/18,17:40:54,154.6,29.2,
08/02/18,17:40:54,154.5,27.9,
08/02/18,17:40:54,153.3,24.6,
08/02/18,17:40:54,157.9,27.7,
08/02/18,17:40:54,151.0,31.6,
08/02/18,17:40:54,158.0,29.6,
08/02/18,17:40:54,166.0,33.2,
08/02/18,17:40:54,157.4,29.9,
08/02/18,17:40:54,159.3,28.4,
08/02/18,17:40:54,153.6,32.9,
08/02/18,17:40:54,157.9,25.4,
08/02/18,17:40:54,157.0,23.9,
08/02/18,17:40:55,155.1,31.8,
08/02/18,17:40:55,164.5,30.7,
08/02/18,17:40:55,158.9,32.6,
08/02/18,17:40:55,164.6,32.4,
08/02/18,17:40:55,162.8,30.7,
08/02/18,17:40:55,164.4,31.5,
08/02/18,17:40:55,164.6,30.6,
08/02/18,17:40:55,162.4,23.4,
08/02/18,17:40:55,165.7,31.0,
08/02/18,17:40:55,163.4,20.3,
08/02/18,17:40:55,167.3,30.0,
08/02/18,17:40:55,169.1,24.7,
08/02/18,17:40:56,167.4,27.5,
08/02/18,17:40:56,166.4,28.3,
08/02/18,17:40:56,168.6,24.8,
08/02/18,17:40:56,167.4,28.3,
08/02/18,17:40:56,163.6,26.7,
08/02/18,17:40:56,169.8,27.7,
08/02/18,17:40:56,171.6,27.1,
08/02/18,17:40:56,173.4,26.2,
08/02/18,17:40:56,167.1,28.8,
08/02/18,17:40:56,170.9,19.9,
08/02/18,17:40:56,175.1,27.6,
08/02/18,17:40:56,172.2,20.5,
08/02/18,17:40:57,175.8,27.5,
08/02/18,17:40:57,175.2,25.1,
08/02/18,17:40:57,174.9,25.5,
08/02/18,17:40:57,176.7,25.5,
08/02/18,17:40:57,177.0,26.2,
08/02/18,17:40:57,177.7,27.1,
08/02/18,17:40:57,178.1,23.9,
08/02/18,17:40:57,177.5,24.9,
08/02/18,17:40:57,179.7,26.3,
08/02/18,17:40:57,177.1,26.2,
08/02/18,17:40:57,180.9,26.2,
08/02/18,17:40:58,175.8,19.5,
08/02/18,17:40:58,179.0,26.3,
08/02/18,17:40:58,178.1,32.4,
08/02/18,17:40:58,176.9,19.5,
08/02/18,17:40:58,179.6,29.2,
08/02/18,17:40:58,181.0,29.2,
08/02/18,17:40:58,175.7,29.4,
08/02/18,17:40:58,170.6,31.6,
08/02/18,17:40:58,177.8,23.5,
08/02/18,17:40:58,172.5,32.2,
08/02/18,17:40:59,180.8,23.1,
08/02/18,17:40:59,182.0,28.1,
08/02/18,17:40:59,179.3,14.9,
08/02/18,17:40:59,185.0,24.1,
08/02/18,17:40:59,183.3,36.6,
08/02/18,17:40:59,182.9,19.5,
08/02/18,17:40:59,188.0,26.1,
08/02/18,17:40:59,187.2,28.4,
08/02/18,17:40:59,183.4,31.0,
08/02/18,17:40:59,188.6,29.2,
08/02/18,17:40:59,191.2,27.4,
08/02/18,17:41:00,188.2,31.5,
08/02/18,17:41:00,191.5,28.0,
08/02/18,17:41:00,191.9,27.0,
08/02/18,17:41:00,186.1,32.4,
08/02/18,17:41:00,192.1,29.3,
08/02/18,17:41:00,190.0,31.2,
08/02/18,17:41:00,190.7,30.5,
08/02/18,17:41:00,192.5,31.9,
08/02/18,17:41:00,193.1,28.7,
08/02/18,17:41:00,190.9,16.0,
08/02/18,17:41:01,195.6,26.7,
08/02/18,17:41:01,193.2,9.7,
08/02/18,17:41:01,193.7,11.0,
08/02/18,17:41:01,199.2,21.2,
08/02/18,17:41:01,208.7,21.1,
08/02/18,17:41:01,200.3,22.2,
08/02/18,17:41:01,201.0,21.0,
08/02/18,17:41:01,200.1,6.4,
08/02/18,17:41:01,203.2,20.6,
08/02/18,17:41:02,202.6,15.0,
08/02/18,17:41:02,204.8,16.6,
08/02/18,17:41:02,199.2,10.1,
08/02/18,17:41:02,203.0,17.2,
08/02/18,17:41:02,200.7,7.5,
08/02/18,17:41:02,205.2,12.4,
08/02/18,17:41:02,202.3,0.2,
08/02/18,17:41:02,207.3,12.6,
08/02/18,17:41:02,207.5,15.9,
08/02/18,17:41:02,203.8,6.2,
08/02/18,17:41:03,203.9,5.7,
08/02/18,17:41:03,208.2,15.3,
08/02/18,17:41:03,206.9,4.5,
08/02/18,17:41:03,209.7,11.8,
08/02/18,17:41:03,206.1,-4.5,
08/02/18,17:41:03,212.0,9.6,
08/02/18,17:41:03,208.1,10.7,
08/02/18,17:41:03,208.4,21.6,
08/02/18,17:41:03,212.6,12.0,
08/02/18,17:41:03,211.2,16.1,
08/02/18,17:41:03,214.4,9.5,
08/02/18,17:41:04,210.2,-11.2,
08/02/18,17:41:04,216.3,12.7,
08/02/18,17:41:04,213.1,19.5,
08/02/18,17:41:04,215.8,17.0,
08/02/18,17:41:04,210.6,15.4,
08/02/18,17:41:04,210.2,23.5,
08/02/18,17:41:04,217.5,22.7,
08/02/18,17:41:04,211.9,26.2,
08/02/18,17:41:04,202.2,30.2,
08/02/18,17:41:04,210.8,38.1,
08/02/18,17:41:04,210.5,33.7,
08/02/18,17:41:04,210.4,31.6,
08/02/18,17:41:05,212.3,31.5,
08/02/18,17:41:05,212.6,30.3,
08/02/18,17:41:05,211.3,36.0,
08/02/18,17:41:05,211.9,39.0,
08/02/18,17:41:05,212.5,42.4,
08/02/18,17:41:05,210.7,38.3,
08/02/18,17:41:05,211.4,40.3,
08/02/18,17:41:05,214.3,46.5,
08/02/18,17:41:05,217.7,39.2,
08/02/18,17:41:05,211.8,36.5,
08/02/18,17:41:05,197.8,44.8,
08/02/18,17:41:05,214.9,39.7,
08/02/18,17:41:06,213.2,32.5,
08/02/18,17:41:06,217.0,35.4,
08/02/18,17:41:06,215.6,41.8,
08/02/18,17:41:06,211.7,36.4,
08/02/18,17:41:06,212.4,34.6,
08/02/18,17:41:06,198.9,46.4,
08/02/18,17:41:06,212.9,36.4,
08/02/18,17:41:06,216.3,45.9,
08/02/18,17:41:06,217.5,44.5,
08/02/18,17:41:06,217.0,46.1,
08/02/18,17:41:06,214.0,38.9,
08/02/18,17:41:07,216.9,48.2,
