Date,Hour,X Position,Y Position
08/09/18,09:28:15,137.7,24.4,
08/09/18,09:28:15,138.4,27.3,
08/09/18,09:28:15,131.5,27.7,
08/09/18,09:28:15,139.1,24.4,
08/09/18,09:28:15,140.9,25.3,
08/09/18,09:28:15,141.6,25.9,
08/09/18,09:28:15,148.3,29.8,
08/09/18,09:28:15,141.7,25.4,
08/09/18,09:28:15,141.2,27.1,
08/09/18,09:28:15,138.5,19.1,
08/09/18,09:28:15,142.1,25.9,
08/09/18,09:28:15,141.6,24.7,
08/09/18,09:28:15,141.5,26.7,
08/09/18,09:28:15,142.2,29.2,
08/09/18,09:28:15,143.8,26.0,
08/09/18,09:28:16,141.5,26.1,
08/09/18,09:28:16,142.8,29.1,
08/09/18,09:28:16,137.0,29.7,
08/09/18,09:28:16,143.8,27.0,
08/09/18,09:28:16,143.0,26.9,
08/09/18,09:28:16,143.1,28.3,
08/09/18,09:28:16,138.4,30.2,
08/09/18,09:28:16,144.8,26.3,
08/09/18,09:28:16,143.3,28.8,
08/09/18,09:28:16,144.5,28.9,
08/09/18,09:28:16,143.3,27.8,
08/09/18,09:28:16,145.7,30.4,
08/09/18,09:28:16,144.0,29.7,
08/09/18,09:28:16,142.1,19.5,
08/09/18,09:28:16,144.6,27.8,
08/09/18,09:28:16,145.5,28.3,
08/09/18,09:28:16,146.8,30.5,
08/09/18,09:28:17,147.3,29.2,
08/09/18,09:28:17,147.1,29.9,
08/09/18,09:28:17,146.2,30.0,
08/09/18,09:28:17,149.8,29.4,
08/09/18,09:28:17,150.3,28.7,
08/09/18,09:28:17,149.6,25.6,
08/09/18,09:28:17,149.0,28.9,
08/09/18,09:28:17,144.9,17.7,
08/09/18,09:28:17,147.8,27.7,
08/09/18,09:28:17,146.6,20.0,
08/09/18,09:28:17,147.0,21.0,
08/09/18,09:28:17,150.2,26.4,
08/09/18,09:28:17,150.5,29.0,
08/09/18,09:28:17,145.9,32.7,
08/09/18,09:28:17,160.8,30.0,
08/09/18,09:28:17,152.9,29.4,
08/09/18,09:28:17,154.5,28.6,
08/09/18,09:28:17,152.8,27.0,
08/09/18,09:28:18,146.7,29.7,
08/09/18,09:28:18,152.9,26.5,
08/09/18,09:28:18,163.2,31.8,
08/09/18,09:28:18,155.4,28.5,
08/09/18,09:28:18,150.8,17.2,
08/09/18,09:28:18,156.4,30.9,
08/09/18,09:28:18,155.1,28.2,
08/09/18,09:28:18,158.4,27.8,
08/09/18,09:28:18,156.7,28.7,
08/09/18,09:28:18,157.1,27.3,
08/09/18,09:28:18,156.2,30.7,
08/09/18,09:28:18,158.6,26.9,
08/09/18,09:28:18,160.0,28.2,
08/09/18,09:28:18,158.5,26.2,
08/09/18,09:28:18,160.6,29.2,
08/09/18,09:28:18,153.4,30.2,
08/09/18,09:28:19,160.6,27.0,
08/09/18,09:28:19,160.4,28.3,
08/09/18,09:28:19,159.8,26.7,
08/09/18,09:28:19,159.1,28.2,
08/09/18,09:28:19,161.6,27.4,
08/09/18,09:28:19,160.7,27.1,
08/09/18,09:28:19,156.3,15.6,
08/09/18,09:28:19,163.1,27.1,
08/09/18,09:28:19,162.8,24.4,
08/09/18,09:28:19,163.7,28.8,
08/09/18,09:28:19,163.5,26.2,
08/09/18,09:28:19,162.9,28.9,
08/09/18,09:28:19,164.9,25.6,
08/09/18,09:28:19,163.0,26.0,
08/09/18,09:28:19,162.8,25.8,
08/09/18,09:28:19,163.9,30.2,
08/09/18,09:28:20,165.4,29.1,
08/09/18,09:28:20,164.4,24.5,
08/09/18,09:28:20,161.0,16.6,
08/09/18,09:28:20,163.9,30.2,
08/09/18,09:28:20,166.1,24.4,
08/09/18,09:28:20,166.8,26.1,
08/09/18,09:28:20,167.4,27.3,
08/09/18,09:28:20,166.6,26.3,
08/09/18,09:28:20,164.8,17.4,
08/09/18,09:28:20,163.0,15.3,
08/09/18,09:28:20,167.3,25.7,
08/09/18,09:28:20,165.1,32.6,
08/09/18,09:28:20,167.0,25.5,
08/09/18,09:28:20,168.5,25.1,
08/09/18,09:28:20,168.4,27.0,
08/09/18,09:28:20,167.6,23.8,
08/09/18,09:28:20,170.2,23.9,
08/09/18,09:28:20,168.9,24.2,
08/09/18,09:28:21,171.6,26.4,
08/09/18,09:28:21,169.2,23.1,
08/09/18,09:28:21,171.1,25.3,
08/09/18,09:28:21,169.6,26.4,
08/09/18,09:28:21,172.3,23.5,
08/09/18,09:28:21,171.5,21.7,
08/09/18,09:28:21,171.2,16.2,
08/09/18,09:28:21,172.3,22.7,
08/09/18,09:28:21,173.3,21.6,
08/09/18,09:28:21,168.8,26.6,
08/09/18,09:28:21,172.8,24.7,
08/09/18,09:28:21,174.5,25.0,
08/09/18,09:28:21,175.1,25.5,
08/09/18,09:28:21,173.0,23.5,
08/09/18,09:28:21,175.6,25.2,
